*	name	Europa Hauptstädte
*	description	Hauptstädte Europas, alle Karten sind abgeleitet von https://commons.wikimedia.org/wiki/File:Blank_map_of_Europe_(with_disputed_regions).svg von maix
*	author	Achim Abeling
*	tsv	true
Picture 1	Text 2	Text 3	Text 4
https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Map_of_Europe_with_Spain_highlighted.svg/680px-Map_of_Europe_with_Spain_highlighted.svg.png	Spanien	Madrid	E
https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Europe_portugal.svg/680px-Europe_portugal.svg.png	Portugal	Lissabon	P
https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Europe_france.svg/680px-Europe_france.svg.png	Frankreich	Paris	F
https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Europe_belgium.svg/680px-Europe_belgium.svg.png	Belgien	Brüssel	B
https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Europe_netherlands.svg/680px-Europe_netherlands.svg.png	Niederlande	Amsterdam	NL
https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Europe_gb.svg/680px-Europe_gb.svg.png	Großbrittanien	London	GB
https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Europe_ireland.svg/680px-Europe_ireland.svg.png	Irland	Dublin	IRL
https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Europe_italy.svg/680px-Europe_italy.svg.png	Italien	Rom	I
https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Europe_malta.svg/680px-Europe_malta.svg.png	Malta	Valetta	M
https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Europe_albania.svg/680px-Europe_albania.svg.png	Albanien	Tirana	AL
https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Europe_greece.svg/680px-Europe_greece.svg.png	Griechenland	Athen	GR
https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Europe_luxemburg.svg/500px-Europe_luxemburg.svg.png	Luxemburg	Luxemburg	L
https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Europe_monaco.svg/500px-Europe_monaco.svg.png	Monaco	Monaco	MC
https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Europe_vatikan.svg/500px-Europe_vatikan.svg.png	Vatikanstadt	Vatikanstadt	V
https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Europe_sanmarino.svg/500px-Europe_sanmarino.svg.png	San Marino	San Marino	RSM
https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Europe_andorra.svg/500px-Europe_andorra.svg.png	Andorra	Andorra	AND
https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Europe_cyprus.svg/500px-Europe_cyprus.svg.png	Zypern	Nikosia	CY
https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Europe_dk.svg/500px-Europe_dk.svg.png	Dänemark	Kopenhagen	DK
https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Europe_ee.svg/500px-Europe_ee.svg.png	Estland	Tallin	EST
https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Europe_fi.svg/500px-Europe_fi.svg.png	Finnland	Helsinki	FIN
https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Europe_is.svg/500px-Europe_is.svg.png	Island	Reykjavik	IS
https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Europe_no.svg/500px-Europe_no.svg.png	Norwegen	Oslo	N
https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Europe_se.svg/500px-Europe_se.svg.png	Schweden	Stockholm	S
https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Europe_by.svg/500px-Europe_by.svg.png	Belarus	Minsk	BY
https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Europe_lt_highlighted.svg/500px-Europe_lt_highlighted.svg.png	Litauen	Vilnius	LT
https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Europe_lv.svg/500px-Europe_lv.svg.png	Lettland	Riga	LV
https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Europe_ru.svg/500px-Europe_ru.svg.png	Russland	Moskau	RUS
https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Europe_ua.svg/500px-Europe_ua.svg.png	Ukraine	Kiew	UA
https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Europe_md.svg/500px-Europe_md.svg.png	Moldau	Kischinau	MD
https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Europe_tr.svg/500px-Europe_tr.svg.png	Türkei	Ankara	TR
https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Europe_xk.svg/500px-Europe_xk.svg.png	Kosovo	Pristina	KOS
https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Europe_bg.svg/500px-Europe_bg.svg.png	Bulgarien	Sofia	BG
https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Europe_me.svg/500px-Europe_me.svg.png	Montenegro	Podgorica	MNE
