*	name	Klett Green Line 2 Vokabeln
*	description	Vokabeln aus Green Line 2
*	author	Achim Abeling
*	tsv	true
Text 1	Text 2
animal	Tier
city	Großstadt
wild	wild
fox	Fuchs
bird	Vogel
zoo	Zoo
monkey	Affe
farm	Bauernhof
at the same time	zur selben Zeit, gleichzeitig
field	Wiese, Weide, Feld
chicken	Huhn, Hähnchen
pig	Schwein
cow	Kuh
sheep pl. sheep	Schaf
horse	Pferd
farmhand	Landarbeiter/-in
schools officer	Beauftragter für Schulklassen
activity	Aktivität
already	schon, bereits
duty	Pflicht
class trip	Klassenfahrt
to milk	melken
to look after	sich kümmern um
grass	Gras
mustn't	nicht dürfen
nervous	nervös, aufgeregt
calm	ruhig, friedlich
allergic to	allergisch auf
shed	Stall
Pooh!	Igitt!
to stink	stinken
to muck out	ausmisten
bacon	Speck
four of them	vier davon
milk	Milch
bottle	Flasche
to fight over	sich streiten um
hand	Hand
to wear	anhaben, tragen
uniform	Uniform
tutorial	Tutorium
to take the register	Anwesenheitskontrolle durchführen
register	Klassenbuch
to arrive	ankommen
assembly	Versammlung, Morgenappell
break	Pause
subject	Schulfach, Thema
to stay	bleiben
planner	Kalender
what else	was noch
to lose	verlieren
to compare	vergleichen
talking about the past	über die Vergangenheit sprechen
past	Verhangenheit
yesterday	gestern
to be, was/were	sein, war/waren
campsite	Campingplatz, Zeltplatz
to try	versuchen, probieren
abseiling	Abseilen
almost	fast, beinahe
to paint	(an)malen, streichen
ago	vor (zeitlich)
paint	Farbe
regular	regelmäßig, gleichmäßig
irregular	unregelmäßig
to have (got), had	haben, hatte; besitzen, besaß
to go, went	gehen, ging
to get, got	holen, holte; bringen, brachte; bekommen, bekam
shark	Hai
to run, ran	laufen, lief; rennen, rannte
out of	aus ... heraus
to see, saw	sehen, sah
to get one's own back	jmdm. eins auswischen, sich rächen
to sit, sat	sitzen, saß
until	bis
to know, knew	kennen, kannte; wissen, wusste
to put, put	setzen, setzte; stellen, stellte; legen, legte
to come, came	kommen, kam
to find, found	finden, fand
to do, did	machen, machte; tun, tat
to wear, wore	anhaben, hatte an; tragen, trug
to check	(über)prüfen; kontrollieren
to buy, bought	kaufen, kaufte
to bring, brought	(mit)bringen, brachte (mit)
to learn, learnt	lernen, lernte
CCTV	Videoüberwachung
corridor	Gang, Flur, Korridor
to get into trouble	in Schwierigkeiten geraten
to tell, told	erzählen, erzählte; sagen, sagte
drama	Theater, Drama
play	Spiel, Theaterstück
embarrassing	peinlich
negative	negativ, verneint
timetable	Stundenplan, Fahrplan
time	Mal
library	Bibliothek
back	Rückseite, Rücken
to give, gave	geben, gab; schenken, schenkte
Technology	Technologie; Computerunterricht
Maths	Mathematik
P.E. (Physical Education)	Sportunterricht
physical	körperlich
education	Erziehung, Bildung
R.E. (Religious Education)	Religionsunterricht
religious	religiös, gläubig
Science	(Natur-)Wissenschaft
Art	Kunst
History	Geschichte
P.S.E. (Personal and Socal Education)	Sozialkunde
personal	persönlich
social	sozial, Gesellschaft-
Geography	Geografie, Erdkunde
to win, won	gewinnen, gewann
timebox	Zeitmaschine
report	Bericht
Roman	Römer, Römerin; römisch
to meet, met	(sich) treffen, traf
to pay, paid	bezahlen, bezahlte
to teach, taught	unterrichten, unterrichtete; lehren, lehrte; beibringen, brachte bei
Latin	Latein
to write, wrote	schreiben, schrieb
waxed	gewachst
to rub out	wegreiben, ausradieren
most	das meiste; die meisten
speaker	Sprecher, Sprecherin
hard	schwierig, schwer; hart
to say, said	sagen, sagte
grammar school	Gymnasium
priest	Priester
poor	arm
craftspeople	Handwerker
baker	Bäcker, Bäckerin
bread	Brot
entrance	Eingang
to take, took	(mit)nehmen, nahm; (mit)bringen, brachte
strict	streng
boarding school	Internat
French	Französisch; französisch
infinitive	Infinitiv
welcome	Willkommen
guidebook	Reiseführer
gallery	(Kunst)Galerie
popular	beliebt, populär
palace	Palast
royal	königlich
than	als
fruit	Obst, Frucht
vegetable	Gemüse
busker	Straßenmusikant(in)
dungeon	Verlies
view	(Aus)Sicht, (Aus)Blick
pod	Gondel
fire	Feuer
to burn, burnt	(ver)brennen, (ver)brannte
to find out	herausfinden
exciting	spannend, aufregend
fact	Fakt, Tatsache
ice skating	Schlittschuhlaufen
rainy	regnerisch
Tube	U-Bahn
to carry	tragen; befördern
millions of	Millionen von
million	Million
passenger	Passagier/-in, Beifahrer/-in, Fahrgast
something	etwas
capital	Hauptstadt
UK	Vereinigtes Königreich von Großbritannien und Nordirland
theatre	Theater
dinosaur	Dinosaurier
inside	innen, im Inneren; hinein, nach drinnen; in
conversation	Konversation, Gespräch, Unterhaltung
each	jede/-r/-s
Tube travel	U-Bahn-Fahren
to travel	reisen, fahren
escalator	Rolltreppe
to get off	aussteigen
through	durch
ticket gate	Fahrkartenschranke
to hurt, hurt	verletzen, weh tun
to get on	einsteigen
to catch, caught	einklemmen, klemmte ein
between	zwischen
platform	Bahnsteig; Plattform
as	als
pigeon	Taube
to fly, flew	fliegen, flog
to leave, left	(ver)lassen, verließ; abfahren, fuhr ab
to hang, hung	hängen, hing
Mind the gap	Vorsicht beim Ein- und Aussteigen
Stand clear of the doors	Zurückbleiben, bitte
while	während
travelcard	Netzkarte
without	ohne
to begin, began	beginnen, begann; anfangen, find an
to fall, fell	(hin)fallen, fiel (hin)
to change	umsteigen; wechseln
stop	Haltestelle
fare	Fahrpreis
southbound	in Richtung Süden
comparing things and people	Dinge und Personen vergleichen
to spend, spent	verbringen, verbrachte
sightseeing	Besichtigungstour
full	voll
true	wahr
better	besser
toy	Spielzeug
worst	schlimmste/-r/-s; schlechteste/-r/-s
the six of us	uns sechs
as ... as	so ... wie
to add	etw. (zu etw.) hinzufügen
comparative	Komparativ
superlative	Superlativ
worse	schlimmer; schlechter
model	Modell
fun	Spaß
antique	Antiquität
arts and crafts	Kunsthandwerk
the rest	der Rest
tall	groß; hoch
around	herum, umher
corner	Ecke
king	König
queen	Königin
to have	haben, besitzen
Christmas	Weihnachten
to have (breakfast, etc)	essen; trinken
to be lost	sich verirrt haben
to lose, lost	verlieren, verlor
anyway	trotzdem; jedenfalls, sowieso
crazy	verrückt
like the back of my hand	wie meine Westentasche, in und auswendig
guide	Führer(in)
real	echt, richtig, wirklich
to be gone	verschwunden sein, weg sein
really	wirklich
all day	den ganzen Tag
piece	Stück
paper	Papier
to fall out of, fell out of	herausfallen aus
to pick up	aufheben
perfume	Parfüm
on	an(geschaltet)
watch	Armbanduhr
traffic	Verkehr
queue	Schlange
to cry	weinen; schreien, rufen
at the front of	an der Spitze (von), im vorderen Bereich
at the front	vorn(e)
to hold hands	Händchen halten
secret	Geheimnis
about	ungefähr, circa, etwa
to kiss	küssen
to make, made	machten, machte
to make a face	ein Gesicht ziehen
high	hoch; groß
to get back	zurückkommen
to follow	hinterhergehen; (be)folgen
